distX;distY;myGunHeading;velocityX;velocityY;hit
160.00;0.00;0.00;0.00;0.00;0
160.00;-5.00;5.00;0.00;0.00;0
-160.00;-190.50;90.00;0.00;0.00;0
-155.00;-190.50;95.00;0.00;0.00;0
-150.02;-190.06;100.00;0.00;0.00;0
-145.09;-189.20;105.00;0.00;0.00;0
-140.27;-187.90;110.00;0.00;0.00;0
-135.57;-186.19;115.00;0.00;0.00;0
-115.24;-171.96;140.00;0.00;0.00;1
-131.04;-184.08;120.00;0.00;0.00;0
-112.03;-168.13;145.00;0.00;0.00;1
-109.16;-164.04;150.00;0.00;0.00;1
-126.71;-181.58;125.00;0.00;0.00;0
-122.61;-178.71;130.00;0.00;0.00;0
-118.78;-175.50;135.00;0.00;0.00;0
14.23;-394.08;155.00;0.00;0.00;0
-0.42;-383.09;170.00;-9.88;-1.54;1
11.40;-390.32;160.00;0.00;0.00;0
3.23;-387.15;165.00;-4.94;-0.77;0
-4.49;-378.94;175.00;-4.94;-0.77;0
-13.93;-375.50;180.00;-4.94;-0.77;0
-18.87;-371.27;185.00;-9.88;-1.54;0
-24.25;-367.05;190.00;-4.94;-0.77;0
-35.00;-363.67;195.00;-4.94;-0.77;0
-41.23;-359.61;200.00;-9.88;-1.54;0
-47.89;-355.68;205.00;-4.94;-0.77;0
-97.43;-110.60;210.00;0.00;0.00;0
-99.93;-106.27;215.00;9.23;-3.82;0
-102.80;-102.17;220.00;0.00;0.00;0
-106.01;-98.34;225.00;0.00;0.00;0
243.72;97.84;245.00;0.00;0.00;0
239.19;99.95;250.00;0.00;0.00;0
-109.55;-94.81;230.00;0.00;0.00;0
234.49;101.66;255.00;0.00;0.00;0
229.66;102.96;260.00;0.00;0.00;0
224.74;103.82;265.00;0.00;0.00;0
200.02;101.66;290.00;0.00;0.00;1
219.76;104.26;270.00;0.00;0.00;0
195.33;99.95;295.00;0.00;0.00;1
214.76;104.26;275.00;0.00;0.00;0
190.79;97.84;300.00;0.00;0.00;1
209.78;103.82;280.00;0.00;0.00;0
186.46;95.34;305.00;0.00;0.00;0
204.85;102.96;285.00;0.00;0.00;0
182.37;92.47;310.00;0.00;0.00;0
178.54;89.26;315.00;0.00;0.00;0
175.00;85.72;320.00;0.00;0.00;0
171.79;81.89;325.00;0.00;0.00;0
168.92;77.79;330.00;0.00;0.00;0
166.42;73.46;335.00;0.00;0.00;0
164.31;68.93;340.00;0.00;0.00;0
162.60;64.23;345.00;0.00;0.00;0
161.30;59.41;350.00;0.00;0.00;0
160.44;54.48;355.00;0.00;0.00;0
160.00;49.50;0.00;0.00;0.00;0
160.00;44.50;5.00;0.00;0.00;0
160.44;39.52;10.00;0.00;0.00;0
161.30;34.59;15.00;0.00;0.00;0
-150.77;-194.32;90.00;0.00;0.00;0
-145.77;-194.32;95.00;0.00;0.00;0
-391.08;206.71;35.00;0.00;0.00;0
-388.21;202.61;40.00;0.00;0.00;0
-385.00;118.78;45.00;0.00;0.00;0
-381.46;115.24;50.00;0.00;0.00;0
-377.63;112.03;55.00;0.00;0.00;0
-369.21;106.66;65.00;0.00;0.00;1
-373.54;109.16;60.00;0.00;0.00;0
-355.15;101.54;80.00;0.00;0.00;1
-350.22;100.68;85.00;0.00;0.00;1
-364.67;104.55;70.00;0.00;0.00;0
-359.98;102.84;75.00;0.00;0.00;0
-345.24;100.24;90.00;0.00;0.00;0
-340.24;100.24;95.00;0.00;0.00;0
-333.78;92.16;105.00;-1.72;-4.69;1
-336.98;95.98;100.00;0.00;0.00;0
-332.39;84.06;110.00;-1.72;-4.69;0
-404.45;-94.61;115.00;0.00;0.00;0
-391.49;-87.13;130.00;0.00;0.00;0
-395.59;-90.00;125.00;0.00;0.00;0
-399.92;-92.50;120.00;0.00;0.00;0
-313.51;290.66;20.00;0.00;0.00;0
-315.22;295.36;25.00;0.00;0.00;0
-317.33;299.89;30.00;0.00;0.00;0
-422.08;10.81;60.00;-3.44;-9.39;0
-428.13;8.61;65.00;0.00;0.00;0
-434.38;6.03;70.00;-1.72;-4.69;0
-332.39;36.94;50.00;0.00;0.00;0
-328.56;40.15;55.00;0.00;0.00;0
-325.02;43.69;60.00;0.00;0.00;0
-321.81;47.52;65.00;0.00;0.00;0
-318.94;51.62;70.00;0.00;0.00;0
-314.33;60.48;80.00;0.00;0.00;1
-316.44;55.95;75.00;0.00;0.00;0
-312.62;65.18;85.00;0.00;0.00;0
-311.32;70.01;90.00;0.00;0.00;0
-310.46;74.93;95.00;0.00;0.00;0
-310.02;79.91;100.00;0.00;0.00;0
-310.02;84.91;105.00;0.00;0.00;0
-310.46;89.89;110.00;0.00;0.00;0
-402.13;124.96;45.00;0.00;0.00;0
-406.23;122.09;50.00;0.00;0.00;0
-410.06;118.87;55.00;0.00;0.00;0
-413.59;115.34;60.00;0.00;0.00;0
-416.81;111.51;65.00;0.00;0.00;0
-428.16;84.10;95.00;0.00;0.00;0
-428.59;79.12;100.00;0.00;0.00;0
-428.59;74.12;105.00;0.00;0.00;0
-249.34;134.31;20.00;0.00;0.00;0
-244.34;134.31;25.00;0.00;0.00;0
-239.35;134.75;30.00;0.00;0.00;0
-234.43;135.62;35.00;0.00;0.00;0
-229.60;136.91;40.00;0.00;0.00;0
-224.90;138.62;45.00;0.00;0.00;0
-220.37;140.73;50.00;0.00;0.00;0
-216.04;143.23;55.00;0.00;0.00;1
-211.94;146.10;60.00;0.00;0.00;1
-208.11;149.32;65.00;0.00;0.00;0
-204.58;152.85;70.00;0.00;0.00;0
65.39;-390.56;160.00;0.00;0.00;0
62.50;-387.82;165.00;-4.60;-1.95;0
59.19;-384.94;170.00;-4.60;-1.95;0
50.85;-383.92;175.00;-4.60;-1.95;0
46.69;-380.90;180.00;-9.21;-3.91;1
42.08;-372.35;185.00;-4.60;-1.95;1
32.70;-371.83;190.00;-4.60;3.55;0
27.35;-369.13;195.00;-8.95;-4.46;0
